Sense	antisense
AaegFG_TE_combined.counts	3.75524231827631	9.01258156386315
AvulFG_TE_combined.counts	6.35998399828026	5.08798719862421
BterFG_TE_combined.counts	25.8610816582126	40.6388426057626
CexiFG_TE_combined.counts	22.2875242950814	5.37588525710507
DmelFG_TE_combined.counts	8.32027512376409	9.70698764439144
DvirFG_TE_combined.counts	4.52396863209407	6.46281233156295
HmelFG_TE_combined.counts	15.1477282194603	22.7215923291904
LmigFG_TE_combined.counts	9.2888459537787	9.2888459537787
LpolFG_TE_combined.counts	5.22182031611856	4.17745625289485
NvesFG_TE_combined.counts	22.7364017370611	45.4728034741222
OfasFG_TE_combined.counts	488.042947779405	1464.12884333821
PtepFG_TE_combined.counts	23.2950905596646	7.76503018655485
PxylFG_TE_combined.counts	10.9853626146139	9.15446884551162
TcasFG_TE_combined.counts	10.7026571923046	23.3872879387396
TniFG_TE_combined.counts	10.7568521147971	12.3703799320167
SmarFG_TE_combined.counts	8.51030512848008	8.51030512848008
AmelFG_TE_combined.counts	17.219865340653	20.9998357812842
ApisFG_TE_combined.counts	6.3349276234519	6.3349276234519
MdomFG_TE_combined.counts	7.33830054743722	9.78440072991629
Dvirilis_FG_TE_combined.counts	512	1780
